Actor, Number of Movies
Derek Jeter, 1
Liliane Robin, 2
Pongsak Pongsuwan, 1
Stephen Vercoe, 1
Kyeong-seon Kim, 1
Dana Gladstone, 1
Noel Purcell, 3
Anne Redfern, 1
Judith Hoag, 3
Michael Hackbart, 1
T.P. McKenna, 5
Geum-Seok Yang, 1
Joe Cates, 1
Vinnie Hunter, 2
Ted Zeigler, 2
Amanda Ryan, 2
Robert Arthur, 2
Diana Browne, 1
Kevin Brando, 1
Raisa Kurkina, 1
Noah Fryrear, 2
Jessica Stroup, 3
James Hetfield, 1
Anna Kristín Arngrímsdóttir, 1
Armin Mueller-Stahl, 21
William Blair, 1
Carmen Carter, 1
Tom Mannion, 3
Mohsen Ramezani, 1
Neil Kennedy, 1
Tom Overton, 1
Pat Clemons, 1
Kil-soo Park, 1
Pierre Carrive, 1
Estelle Winwood, 5
Brendan McCarthy, 2
Tony V., 2
Roman Danylo, 2
Levente Igaz, 1
Tommy Snider, 1
Konstantin Hierl, 1
Aldo Ray, 4
Wayne Caparas, 1
Jerry Mayer, 4
Katherine Boecher, 2
Dick Wilson, 2
Mikki Padilla, 1
Dariusz Biskupski, 2
Keith Hefner, 1
Beulah Booker, 1
William Stumpp, 1
Cherry Jones, 15
Peter Holden, 1
Peter Holder, 1
Jane Sibbett, 2
Richard Webb, 6
Stéphane D'Audeville, 1
Ralph Brannen, 1
Norbert Wollheim, 1
Yamila Greco, 1
Kelly Keaton, 3
Drum Garrett, 3
Fred Stuthman, 3
Roger Willie, 3
Ursula Reit, 2
Denise Dowse, 7
Louisa Moritz, 7
Tara O'Reilly, 1
Michael Kell, 1
Geoffrey Toone, 4
Julie Halston, 2
Vincent Nemeth, 3
Gary Dell'Abate, 2
David Novotný, 2
Troy Yorke, 1
Heidi Vance, 1
Luther Bedford, 3
Alastair Cumming, 1
Robert Rondo, 2
Jackson Smith, 1
Eva Mancarella, 1
Ray Middleton, 2
Richard Nixon, 1
Archie Smith, 1
Emma Bunton, 1
Tamás Major, 2
Alicia Goranson, 2
Michael Lombard, 6
Diamond Yukai, 3
Chris Casamassa, 3
Edgar Stehli, 2
Charles Cousins, 3
Ed Wheeler, 2
LaGaylia Frazier, 2
Margie St. Juste, 1
Kim Hartley, 1
Joop Doderer, 1
Matt Prescott Morton, 1
Dan Badarau, 1
Francesca Rettondini, 1
Pete Seeger, 1
Katherine Kousi, 1
Uuganbaatar Ikhbayar, 1
Harmony Korine, 2
Betty Murphy, 1
Michael Dugan, 2
Laura Swanson, 2
Sean Young, 29
Frankie Loyal Delgado, 1
Hannelore Schubert, 2
David Janssen, 3
Jing Ai, 1
Ben Affleck, 42
Richard Farnsworth, 13
John Henry Scott, 1
Sandra Kinder, 1
Jason Schombing, 5
Christine Henkart, 2
Sarah Rowland Doroff, 1
Lucius Wyatt Cherokee, 1
Randy Birch, 1
Doug Roberts, 3
Russel Savadier, 3
Linda Hooper, 1
Renee Props, 2
Tom McKay, 1
Nicole Burdette, 4
Tsepak Tsangpo, 1
Stan Laurel, 4
John Hackett, 1
Tony Fuentes, 1
Lloyd Martin, 2
Brett Brock, 1
Gina La Piana, 1
Caroline Coon, 2
Eugene I. Stillman, 2
Hudhail Al-Amir, 2
Giacomo Beltrami, 1
Rikki Marin, 5
Richard Cassarino, 1
Ernest Borgnine, 24
Anthony Dileo Jr., 1
Fukumi Kuroda, 1
Anna Baldaccini, 1
Angelika Hillebrecht, 1
Rod Loomis, 1
Carolyn McCormick, 3
Joanne DiMauro, 2
Chris Martin, 1
Gailard Sartain, 26
Eliza Roberts, 3
Colin Quinn, 1
Hanna Verboom, 1
Dal McKennon, 3
Eric Schiff, 2
Corbin Bleu, 4
Pep Molina, 2
Carlos Federico Simon, 1
Coco McPherson, 2
P.J. Ochlan, 1
Vinnie McCabe, 2
Davide Manuli, 1
Hans Eichler, 1
Luc Merenda, 2
Ulrike Schirm, 1
Chaka Forman, 1
Muriel Combe, 1
Michael Dean Jacobs, 2
Philippe Clévenot, 2
Alfie Allen, 2
Préfet Carle, 1
Anne Gee Byrd, 2
Sabrina Scharf, 2
Bob Penny, 3
Frank Sinatra, 15
Drew Pillsbury, 2
Joanna Roos, 1
Anne Cordiner, 1
Noeline Brown, 2
Cynthia Harris, 1
Peewee Love, 1
Tom Savini, 6
Simon Craig, 2
Gannon Forrester, 2
Kristen Wiig, 2
Eric Cowley, 1
Murielle Arden, 1
Ornella Muti, 11
Alice Jubert, 1
Paul Vincent Coleman, 2
Joel Himelhoch, 1
Lori Anne Flax, 2
Mike Malone, 1
Ken King, 1
Sue Sawyer, 1
Laurent Lafitte, 1
Marta Balletbò-Coll, 1
Said Mohamadi, 1
Calvin Jung, 5
Ralph Louis Harris, 2
Liu Ru, 1
Peter Radtke, 1
Robert O'Meara, 2
Niven Boyd, 1
Bob Goen, 3
Charlotte Stewart, 7
Juanjo Cucalón, 1
Douglas Hegdahl, 1
Cathy Trien, 1
Renji Ishibashi, 7
Robert Mandan, 4
Mark Moseley, 3
Vanessa Chong, 2
Pierre Holdener, 1
Derek Ritschel, 1
Joseph G. Medalis, 3
Kris Marshall, 8
Natalie Maines, 1
Lorraine Fiorito, 1
Gil Cagne, 2
Karl-Heinz von Hassel, 1
Clifton Collins Jr., 14
Eric Raymond, 1
Bobcat Goldthwait, 19
Joey Slotnick, 10
Graham Galloway, 1
Jamal Udin Torabi, 1
Daniel A. Haro, 1
Peter Bart, 2
Douglas Walton, 4
Philip Suriano, 2
Hugh Masekela, 1
Diana Salvatore, 2
Elizabeth Solorzano, 1
Mickey Knox, 4
Susan Aceron, 1
Teddy Dunn, 2
Louise Lombard, 3
Eric Vale, 1
Michael Treanor, 2
Chandler Parker, 1
Jean-Pierre Marielle, 1
Ameriie, 2
Jacques Monge, 1
Boris Leskin, 3
Tony Michaels, 1
Jason Kuriloff, 2
Alexandra Kyle, 5
Richard Cohee, 2
Duong Don, 4
Brad Braeden, 2
Els Dottermans, 2
Pedro de Cordoba, 4
Eishy Hayata, 1
Diana Barrows, 3
Andrew Bloch, 3
Michele Harrell, 1
Richard Chew, 1
BarBara Luna, 2
Vin Diesel, 25
Lech Walesa, 1
Ryan Raddatz, 1
Julia Barr, 1
Henry McGrath, 1
Kim Gyngell, 2
Evelina Gori, 1
Julie Strijdom, 1
Linda Weitz, 1
Samson Jorah, 3
Eddie Borden, 1
Taraji P. Henson, 4
Ángel Alcázar, 1
Rob McElhenney, 4
Erin Underwood, 1
Robin Stille, 1
Kaija Pakarinen, 1
Zoe Saldana, 14
Ted de Corsia, 5
Rainer Egger, 2
Lili Koshashvili, 1
Fay Compton, 1
Virginia Cherrill, 1
Charles Boyer, 4
Peggy Lee, 1
George Stephanopoulos, 1
Sandra White, 1
Alan Devlin, 1
Temple Nash, 2
Mona Lee Fultz, 4
Joy de la Paz, 1
Yûrei Yanagi, 2
David Lane, 1
Stephen Moyer, 3
Paul Dano, 16
Paul Jabara, 2
Gianfranco Brero, 1
Nancy Walker, 2
Nobu McCarthy, 2
Yilmaz Köksal, 2
Shane Daly, 1
Dick Green, 2
Mabutho 'Kid' Sithole, 4
Jeremy Jazwinski, 1
John Standing, 13
Caroline Fogarty, 1
Jean-Michel Kindt, 1
Alma Collins, 1
Manuel Tallafé, 1
Vince Viverito, 2
Henryk Golebiewski, 1
Norman Golightly, 4
Bruce Weitz, 3
Lionel Goldstein, 3
David Starwalt, 1
Justin LaBlanc, 1
Pat Zurica, 4
Mike Apaletegui, 2
Makoto Matsuzaki, 1
Monica Lewis, 2
Nicholas Fanella, 1
Brianne Davis, 1
Joan Hotchkis, 1
Leigh Whipper, 2
Lori Cardille, 1
Jason Spevack, 1
Sam Moore, 1
Gary Austin, 5
Eric Winter, 1
LisaRaye, 2
Kurt Christian, 4
Dennis Olivieri, 1
Simone Bowkett, 1
Jennifer Child, 1
Brant von Hoffman, 8
Torsten Voges, 6
Eiji Okada, 4
Julie Ordon, 2
John Cothran Jr., 12
Lydia Kavina, 1
Brely Evans, 1
Zoe O'Grady, 1
Andrea Officer, 1
Kerri Dunbar, 1
Kaj-Erik Eriksen, 1
Howard Smith, 4
Robin Romeo, 1
Billy Byrne, 2
Jeremy London, 2
Christian Mills, 2
François Morel, 3
Gennadi Yukhtin, 1
Brian Drummond, 6
Joe C., 1
Arthur Hewlett, 1
Scott Nicholson, 1
Jimmy Lennon Jr., 1
Peter Fieseler, 3
Stuart Wilson, 17
Emin Sivas, 1
De'aundre Bonds, 7
Eric Breker, 2
Lorraine Rainer, 1
Emma Thompson, 28
Jim J. Bullock, 3
Mark Venhuizen, 3
Conrad Nelson, 3
Brendan Deary, 1
Ted Simonett, 1
Bernard Papineau, 1
Louis Katz, 1
Edson Stroll, 1
Frank Hyers, 1
Felice Rosser, 1
Thomas Patti, 1
Graziella Delerm, 1
Dan Gifford, 1
Sarah Butler, 1
Danny Mann, 17
Karen Ludwig, 2
John E. Coleman, 1
Dan Cadan, 1
Ben Rappaport, 1
Dorian Missick, 7
George 'Gabby' Hayes, 1
Thom Baker, 2
Justin Theroux, 17
Adam Frick, 1
Liliane Dreyfus, 2
Buddy Baer, 1
James Benatti, 2
Sam Witwer, 1
Shannon Lawrence, 1
Dr. Kleingeld, 1
Anthony C. Hall, 3
Jennifer Saunders, 8
Clifton Young, 2
Alain Bécourt, 1
Karen Crone, 1
Dalila Di Lazzaro, 1
Omillio Sparks, 1
Madolyn Smith Osborne, 5
Kimberly McCullough, 4
Rudolf Schündler, 4
Bill Smitrovich, 12
Sharisse Baker-Bernard, 1
Marina Pagano, 1
Timo Kahilainen, 1
David Hollander, 1
Keir Gilchrist, 1
LeVar Burton, 6
John Gallaudet, 3
Guy-Daniel Tremblay, 1
Don Stout, 1
Monir Arab, 1
Dick Shawn, 5
Cindy Busby, 1
Fiddle Viracola, 1
Jon Larson, 1
Angela Down, 1
Benny Baker, 1
Reese Witherspoon, 28
Elizabeth Knowles, 1
Annie Corley, 12
Paul Lichtman, 2
Bobbi Page, 1
Francesca De Sapio, 2
Cavada Humphrey, 1
Wanda De Jesus, 4
Michelle Wong, 1
Gordon Hart, 1
Jean Poiret, 1
Ingo Neuhaus, 2
Jon Mikl Thor, 1
Tetsu Watanabe, 3
Linda Larkin, 10
Richard Mathews, 3
Darlanne Fluegel, 13
Krister Henriksson, 2
Kari Heiskanen, 1
Mel Gorham, 3
James Bachman, 1
Vladimir Knysh, 1
Dillon Woolley, 2
John Rubano, 3
Johnny Sanchez, 2
Thoko Ntshinga, 1
Radek Bruna, 1
Shandra Beri, 2
Carlo Alighiero, 1
Gabriele Di Giulio, 1
Liz Gordon, 1
Nori Morgan, 2
Emira Nusevic, 1
Jacek Koman, 1
Clotilde Mollet, 3
Jeana Keough, 1
Marilyn Cooper, 3
Tony Roberts, 14
Tom Fahn, 1
Cameron Ferre, 3
Paul Butcher, 4
Joe Nassi, 1
Felton Perry, 7
Helgi Björnsson, 1
Fijad Hageb, 2
Ivan Lucas, 1
Paul Beauvais, 2
Liyuan Wang, 1
Steffi Kühnert, 1
Peter Lorenzelli, 1
Vera Day, 2
Jackie Richardson, 2
Jade Smith, 1
Mekia Cox, 1
Anthony Zerbe, 16
Alfonso Lussón, 2
Diana Rigg, 6
Johnathan Rice, 1
Kelly Rutherford, 4
Geon-tae Park, 1
Virginia McCollam, 4
James Duggan, 1
Jesse Dabson, 1
Karen Price, 1
Adele Mara, 2
Grigoris Evangelatos, 2
Patrick Louis, 3
Dragos Bucur, 2
Peri Gilpin, 4
Dylan Moran, 4
Howard St. John, 6
Rosa Blasi, 1
Joey Ray, 1
Dick Cheney, 2
Canan J. Howell, 2
Wesley Ivan Hurt, 2
Dani Klein, 2
Adrien de Van, 2
John Harlin III, 1
Natalie Portman, 23
Marjorie Nelson, 1
Juliet Reagh, 2
Tracy Thorne, 3
Susan Kennedy, 1
Shera Danese, 2
Diane Bond, 1
John Berlyne, 1
Bruce Jarchow, 5
Rudy Bond, 9
Ruth Williamson, 3
Dominique Dunne, 3
Ásmundur Ásmudsson, 1
Gordon Richards, 1
Tanya Allen, 2
Annie Campbell, 1
David Lumsden, 1
Lina Giornofelice, 2
Yvonne Sciò, 3
Susie Coelho, 3
Barbara Andres, 1
Linda O. Cook, 2
Angus Macfadyen, 12
Maria Riva, 2
Michael Spears, 4
Russell Buchanan, 2
Bolaji Badejo, 7
Jim Wynorski, 1
Sidney Cox, 1
Tamara Ustinov, 1
John D'Aquino, 1
Julien Schoenaerts, 1
William Eadie, 1
Terry Fitt, 1
Philip Stainton, 3
John Higgins, 2
Ben Lokey, 1
Marie Claude Joseph, 1
Martin Wuttke, 1
Daniele Liotti, 1
Rutger Hauer, 31
John Marley, 4
Andréa Leal, 1
Jami Gertz, 10
Shimen Ruskin, 5
Teco Celio, 4
Lonnie Brooks, 1
Miranda Coe, 2
Michael Horton, 1
Vincent Zangari, 1
Wolf Christian, 2
Austin Schwarz, 1
Stewart Klein, 2
John Clive, 4
Dusty Balcerzak, 1
Joe Sheridan, 9
Chôko Iida, 1
Xosha Roquemore, 1
Sandra Monteleoni, 1
Luis Mesonero, 2
Paul McCrane, 8
Dougie Poynter, 1
John Friesen, 4
Berry Berenson, 1
Robin Langford, 1
Kim Fleiss, 1
Max Haufler, 2
Copper Cunningham, 3
Lyndon Davies, 1
Garry Jode, 1
Joli Jászai, 1
Eric Aviles, 2
Fay Ripley, 2
Buddy Crabtree, 1
Ben Ridgeway, 1
Travis Fine, 3
Lynne Cormack, 4
David DeLuise, 1
Allen Covert, 23
Imaseki, 1
Rebecca Johnson, 2
Adam Ozturk, 2
Natale Bosco, 2
Blake Lindsley, 2
Lotte Lenya, 2
Kaitlyn Gainer, 1
Philip Latham, 1
Fred Cherry, 1
Herb Tanney, 4
Gerry Skilton, 5
Lorraine Smith, 1
Charlie Hardwick, 2
Rainer Judd, 2
Javier Sandoval, 3
Arthur Laupus, 1
Lanna Saunders, 2
Anita Elliott, 1
Ron Perkins, 9
Jennifer James, 1
Scott Wickware, 5
Robert Shepard, 1
Tomer Yosef, 1
Merrilyn Gann, 2
Murdock MacQuarrie, 3
Tung Cho 'Joe' Cheung, 5
Lark Voorhies, 3
Lynsey Baxter, 4
Rúrik Haraldsson, 1
Countess Koulinskyi, 1
Jimmy Page, 1
Ileana Chávez, 1
Josh Hopkins, 4
Kathleen Chalfant, 7
Petr Janis, 1
Shanti Das, 1
William Neenan, 2
Jason Robards, 40
Robert Jochheim, 2
Billy Coyle, 1
Aidan O'Hare, 1
Nick Savage, 1
Bobby Dark, 1
Harcourt Williams, 2
Reinol Martinez, 2
Ann Marie Byrne, 1
Marianne Sägebrecht, 7
Mark Mitchinson, 1
Lori Singer, 4
Anson Leung, 1
Antonio Neiwiller, 1
Susan Sarandon, 52
Alberta Watson, 6
Ivan Sergei, 4
Rudy Challenger, 1
José Gallardo Jr., 1
Dana Stubblefield, 1
Norman Steinberg, 2
John Cusack, 59
Elizabeth Moody, 5
Eduardo Peralta, 1
Peter Nduati, 2
Terry Schonblum, 1
Carl Lee, 2
Zachary Knighton, 1
William May, 1
Maurice Biraud, 1
Tom Kennedy, 1
Ichirô Amano, 1
Donna Butterworth, 1
Austin Fairman, 1
Harvey Loomis, 1
James Kline, 3
Lucy Punch, 3
Brandon Keener, 1
Chloé Winkel, 1
Samantha Power, 1
Selim Boughedir, 1
Paul Hardwick, 1
Chung Chan, 2
Don Shelton, 2
Andy-C, 1
Bernie Davis, 1
David Kristian, 1
Rebecca Chambers, 1
N. Babanini, 1
Brittany Daniel, 10
Jill Bennett, 6
Judy Reyes, 2
Anita Gordon, 1
John Lazar, 4
Natasha Lyonne, 24
Gordon Littmann, 1
Matthew Faust, 1
Claudia Barrett, 2
Juan Jaramillo, 1
Bobb'e J. Thompson, 7
June Carryl, 7
Tomatito, 1
Nicola Kimber, 1
Lily Jackson, 2
Tomoko Ôtakara, 1
Alexandra Staden, 2
Stephen Thompson, 2
Russell Collins, 4
Dave Foley, 16
Josef Köstlinger, 1
Peter Carey, 1
Maxine Bahns, 2
Elliott Spiers, 1
Stephen Joffe, 1
Tenzin Thuthob Tsarong, 1
William Hope, 5
Bruce Bennett, 6
John Wray, 4
Dominic Monaghan, 1
Allison Nega, 1
Demetre Phillips, 1
Jesse James Rutherford, 2
Gedren Heller, 1
Pablo Jimenez Rivera, 1
Haley Peterson, 1
Gunther Philipp, 1
Richard Shannon, 1
Brandon de Paul, 1
Emily Cline, 1
Andrew Butler, 1
Pat Bermel, 1
Brian Posehn, 6
Howard Pettis, 1
Danny Elfman, 5
Georgina Cates, 4
Mamie Gummer, 1
Edgar Pauly, 1
Marilyn Kagan, 1
Ed Call, 6
Stephen Tozer, 1
Anh Tuan, 1
Lucy Lawless, 1
Jeff Chamberlain, 2
Golshifteh Farahani, 1
Richard Voll, 2
Candy Ford, 2
Courtney Campbell, 1
Bernard Miles, 4
Carmen Maura, 7
Charles Dow Clark, 1
George Antoni, 5
Boyce Holleman, 1
Kathleen Marie Archer, 1
Jessica Bork, 1
Matt Barker, 1
Seong-pil Kang, 1
Mohamad Haref Harati, 1
Betty Jean Hainey, 1
Robert Harper, 8
Katja Riemann, 3
Charles Nelson Reilly, 4
Kimberly Williams-Paisley, 11
Josette Maccario, 2
Charles Halton, 5
Gary Cole, 24
Kent Staines, 1
Joel Fluellen, 3
Sam Doumit, 1
Jennifer Salt, 3
Napoleon Walls, 1
Bridget Brice, 2
Oscar Levant, 3
Dan Bochart, 6
Shannon Woodward, 2
Martin Aistrope, 1
Hiroshi Fujioka, 1
Steven Scales, 1
François Petit, 3
Arnold Pinnock, 2
Michele Hicks, 1
Jun Fubuki, 1
Craig Hickman, 1
Toni Gerry, 1
Bernie Kuby, 1
Morgan Searcy, 1
Selahattin Firat, 1
Walter Mathews, 1
Philip Dinn, 1
Jayasurya, 1
Joanna Dunham, 1
Ljiljana Blagojevic, 1
Pete Antico, 3
Neill Barry, 2
Michael Barrymore, 1
Valérie Quennessen, 3
Alec Sulkin, 1
Lloyd Ingraham, 1
Mary Elizabeth Winstead, 6
Joe Roberts, 1
Leo Genn, 3
Charles Mesure, 1
John Bedford Lloyd, 6
Pep Munné, 1
Grant Preston, 1
Michele George, 1
Roef Ragas, 1
Dana Fuchs, 2
Ruth de Sosa, 2
Grace Una, 1
Jean-François Perrier, 1
Alan Doyle, 2
Keri Pisapia, 1
Dine Souli, 1
Paul Livermore, 1
Chester Tam, 1
Angela Pringle, 1
Sean Cw Johnson, 1
Petar Temelkovski, 1
Louis Terrel, 1
Federico Gonzáles, 1
Ross Huffman-Kerr, 2
Philip Sleeman, 1
Erik Polczwartek, 2
Linda Moretti, 1
Lexie Stuart, 1
Little Richard, 3
Laurent Claret, 1
Andrzej Borkowski, 1
Lucrezia Valia, 1
Steven Barr, 4
Christoph Luty, 1
Billy Ward, 1
Ali White, 1
Kaytlyn Knowles, 1
Ivan de Almeida, 1
Thomas Cawood, 1
Mack Morris, 1
Maria Perschy, 2
Myriam Goumane, 1
Pat Keen, 3
Krystal Rodriguez, 1
Frank Cassavetes, 3
Aaron Stanford, 12
Guy Prescott, 1
Maud Biton, 1
Kari Kihlström, 1
Ji-Yeong Hong, 2
Frédéric Franzil, 1
Eric Stoltz, 29
Clint Dyer, 1
Walter Saxer, 2
Alaine Byrne, 1
Alex O'Loughlin, 4
Emma Hamilton, 1
Glenn Kotche, 1
Elaine C. Grove, 1
Pedro Sánchez Bernal, 1
Maï Anh Le, 1
Ori Sivan, 1
Miguel Hurst, 1
Beach Dickerson, 2
Frédéric Pfluger, 2
John Motson, 1
Coleen Christie, 2
Tony Everready, 1
Janine Maldonado, 2
Eliza Norbury, 2
Silvia Paz, 1
Guram Pirtskhalava, 1
Darrell Lloyd Tucler, 1
Tommy Lee, 1
Claudine Dupuis, 1
Terence Beesley, 1
Billy Aaron Brown, 5
Bill Anderson Jr., 2
Marina Glezer, 1
Joe Berlinger, 1
Marie Cardinal, 1
Georgi Kishkilov, 1
Gérard Rudolf, 1
Jamie Donnelly, 2
Frederic Downs, 1
Charles Pillai, 1
Holly Maples, 2
Adewale Akinnuoye-Agbaje, 13
Rue McClanahan, 5
Vicki Raaf, 1
Harold Lloyd, 2
Behzad Dorani, 1
Derek Godfrey, 1
Emily Rose Everhard, 1
Ali Hillis, 2
Walter De Palma, 1
Don Diamond, 2
John Capodice, 20
Kevyn Major Howard, 7
Drew Deighan, 3
Teller, 7
Megan Jeffers, 1
Lynne Langdon, 2
Nan Peterson, 1
Sandra Roberts, 1
Dicken Ashworth, 7
Gary Brockette, 1
Elisha Wilson, 1
Anthony Cross-Thomas, 1
Patrice Wymore, 1
Concha Gómez Conde, 1
Jeff Eller, 1
Bobby Gillespie, 1
Russel Case, 4
Tunde Adebimpe, 1
Karen Shallo, 4
Rebecca De Los Reyes, 2
Bojana Novakovic, 2
Tillotama Shome, 1
Elisabeth Margoni, 1
Todd Haven, 1
Jenny Baxter, 2
Derrick Bell, 2
Avi Kleinberger, 2
Rajesh Vivek, 1
Yoshiaki Fujiwara, 1
Lamb Chop, 1
Chelsea Noble, 2
John Kani, 2
Delphine Cadet, 1
Tiny Parker, 1
John Culhane, 1
Ferdinand von Alten, 1
Helena Carroll, 3
Pan Filipowicz, 1
Brent Chapman, 3
Carlos Bravo y Fernández, 1
Amanda Álvarez, 1
Jacqueline deWit, 2
Carol Ann Leif, 2
Cody Haynes, 1
Patricia Stutz, 1
Travis Davis, 1
Charles Dingle, 7
Robert Chen, 2
Richard Evanson, 2
Richard Yearwood, 2
Aesha Waks, 2
Jeannie Wilson, 2
Nathalie Galán, 2
Orson Welles, 15
Hélène Lapiower, 1
Carmen Llywelyn, 4
Marianne Muellerleile, 9
Tim Barker, 1
Kelly Dupre, 1
Julia Blake, 4
Alicia Carr, 3
Christian Fan, 3
Beverly Cooper, 1
Steve Durham, 1
Susan Keller, 1
Paul Mulholland, 1
Lynn Latham, 2
Paul Reynolds, 2
Connie Nielsen, 17
Maree Cheatham, 3
Pelle Bang Sørensen, 1
Naoki Tatsuta, 4
Valorie Armstrong, 1
Anne Chevalier, 1
Imad Jabarin, 1
Ward Ramsey, 1
Rosanna Lavelle, 1
Michel Lisowski, 1
Joan Plowright, 27
Brenda Currin, 2
Cathy Murphy, 1
Kôji Shimizu, 2
Christopher Gorham, 3
Richard Wilson, 8
Kyung-gu Sol, 1
Oscar Polk, 3
Cindi Berger, 1
Claudia Kaleem, 1
Richard Rhodes, 2
Tig Exton, 2
Lisa Marie Bronson, 1
Oury Milshtein, 1
Aoi Tada, 2
Sophie Medina, 1
Kimble Jemison, 1
Moshana Halbert, 1
Jan-Michael Vincent, 7
Marie Wilson, 1
Pietro Paglietti, 1
Marco Ricca, 1
Amy Higgins, 2
Dunia Saldívar, 1
Nancy McCauley, 1
Brian Hawkes, 1
Sean P. Donahue, 1
Paul Rogers, 1
Wilfried Malori, 1
Mark Everett, 4
Lloyd Price, 1
Valentina Cortese, 7
Terry, 4
Beth Porter, 2
Joey D. Vieira, 2
Eddie Driscoll, 1
King, 1
Jon Favreau, 22
Maurizio Nichetti, 2
Gail Davis, 1
Ann Queensberry, 1
Sally Ann Marsh, 1
Idil Yener, 1
Danny Hoch, 9
Sullivan Stapleton, 2
Mathias Rust, 1
Peter Cranwell, 1
Donna Wilkes, 2
Jennifer Defrancisco, 1
David McCharen, 3
Doug Lennox, 1
Anthony Andrews, 3
Tina Andrews, 1
Matthew Witherly, 1
Edel Frazer, 3
Michael Finuoli, 1
Lan Fendors, 5
Margot Krindel, 1
Walter Rivers, 1
Walter Vargas, 2
Brooke Palance, 1
Sumela Kay, 3
Malinda Williams, 4
Lucia Sanchez, 1
Beverly Hanson, 1
Phillip J. Bartell, 1
Keith Cooke, 5
Wayne Parent, 1
Tony Abou-Ganim, 2
Jennifer Kendal, 3
Jodie Markell, 6
Alex Mackenzie, 1
Ida Onyango, 1
Ron Annabelle, 3
Quach Van An, 1
Nina Paley, 1
Meinhart Maur, 1
Edward Horn, 3
Ida Martin, 1
Miriam Hopkins, 7
Jonathan Benair, 2
Rosetta Harris Armstrong, 1
Marianne Favre, 1
Mac Miles, 1
Christian Rub, 5
Kirk Acevedo, 4
Stuart Fratkin, 1
Sabrina Impacciatore, 1
Antonie Kamerling, 4
Nancy Kovack, 2
Claudia Bryar, 2
LaTonya Borsay, 2
Edward Keane, 1
Michel Barbey, 1
Steve Rosen, 1
Jodi Van Prang, 1
Iva Mihalic, 1
Pascual García Peña, 1
Sandra Quarterman, 1
Sheila Flitton, 2
Patricia Slater, 1
Sean Maguire, 2
Katy Boyer, 1
James Michael Tyler, 1
Charley Speed, 1
George Sullivan, 1
Tom Noonan, 20
Fred Dryer, 1
George E. Stone, 3
Gbenga Akinnagbe, 2
Jérémie Steib, 1
Jason Round, 1
Lucile McIntyre, 3
Victor Raider-Wexler, 4
Anne Delol, 1
Tom Fisher, 14
Ute Maria Lerner, 1
Tom Felker, 1
Vincent Dupont, 1
Michael Mislove, 1
Jasmine Guy, 4
Jae-wook Ahn, 1
Brian M. Reed, 1
Daniel Farfán, 2
David Spade, 21
Clive Merrison, 11
Alain Bouvette, 2
Mahesh Manjrekar, 1
Julio Oscar Mechoso, 23
Breffni McKenna, 3
Stanley Lebor, 3
Gareth O'Connor, 2
Douglas Minckiewicz, 1
Kevin Gage, 7
Marion Martin, 2
Jon Bang Carlsen, 1
Hanna Skarzanka, 1
Ted Sutton, 3
Lock Martin, 1
Derek Osedach, 1
Dee Dee Davis, 1
Ben Masters, 2
Thomas Anderson, 1
Leor Livneh Hackel, 3
Shepperd Strudwick, 5
Malgorzata Braunek, 1
Honeyboy Edwards, 1
Joe Messina, 1
Woon Young Park, 2
Erika Oda, 1
Michael Bollner, 2
Katina Morisani, 1
Eric Meyers, 3
Abraham Gleaves, 1
Luce Rains, 6
Hossein Moharami, 1
Hisao Egawa, 1
Bruno Podalydès, 1
Tim Roth, 25
J. Scott Henderson, 1
Jayant Kripalani, 1
Pamela Branch, 1
Anthony Kiedis, 2
Harry Joseph, 1
Peter Engman, 1
Gary Ford, 1
Joshua Mitcheltree, 1
Kateri Walker, 2
Jocelyn Cunningham, 1
Katherine Lang, 1
Vincent Pereira, 1
Lia Chapman, 2
Karl Pruner, 3
Ed McMahon, 2
Viva Bianca, 1
E.J. Moore, 4
Leah Ayres, 1
Eun-jeong Han, 1
Landon Hall, 1
Method Man, 6
Ernie Dingo, 3
Evangelina Elizondo, 1
Per Christian Ellefsen, 1
Martin Konigsberg, 1
Bernard Nissile, 1
Gerhard Maerz, 1
Bob Schott, 2
Gary Smith, 1
Dylan Hartigan, 3
Evan White, 1
Freddie Davies, 1
Lindsay J. Wrinn, 2
Lisa K. Wyatt, 2
Graham 'Grace' Walker, 2
Donald Burda, 2
Thomas Noguchi, 2
Terri Treas, 4
Taylor Suzanna McBride, 2
James McKechnie, 1
René Van Clief, 2
Jill James, 1
Chelsea Brown, 2
Kim Harris, 1
Gerrit Graham, 14
Soon-Tek Oh, 16
Anastasiya Bedredinova, 2
Shari Eubank, 1
Lauren Chen, 1
Richard Rust, 2
Peter McNamara, 2
Hal Smith, 13
Guy Edwards, 1
Shannon Ferber, 1
Pepe Hern, 2
Ray 'Rocket' Valliere, 2
Danny Nowak, 1
Anne Martien Lousberg, 1
Kenan Hudaverdi, 2
Nathaniel DeVeaux, 1
Andrew Brackfield, 2
Dave King, 2
Kathleen O'Malley, 1
Jenny Robertson, 3
Michelle Pertier, 1
Lise Lamétrie, 1
Irving Metzman, 7
Sophie Auster, 1
Shyann McClure, 1
Bernard Ledger, 1
Michael Arnold, 1
José Manuel Martín, 2
Star LaPoint, 1
The Charlot Girls, 1
Bill Page, 1
Anthony Natale, 2
Ann Nelson, 2
David English, 1
Nikos Karathanos, 1
