Actor, Number of Movies
Tom Attenborough, 2
Henri Fridlani, 1
Clyde Lewis, 2
Manfred Schulz, 3
James Kirk, 5
Jason White, 3
Haren Banerjee, 1
Robert Smith, 2
Keith Flippen, 1
Robert Shawley, 1
Torauemon Utazawa, 1
Jan Fischer, 1
Casey Kasem, 3
Lysa Flores, 1
Dumisani Mbebe, 1
Mike Cleven, 1
James Cranna, 4
Richard Lynch, 9
Mano Maniam, 5
Monica Maughan, 1
Carice van Houten, 1
Frank Graham, 1
Ernest Whitman, 1
Tara Strong, 12
Hoang Trieu, 1
Mongo, 1
Joan Petrie, 2
Philip Holmes, 2
Ryszard Anyszkiewicz, 1
Tracy Brooks Swope, 5
Adam Weisman, 2
Karsten Speck, 1
Carmen Dell'Orefice, 1
John G. Brennan, 2
Chasey Lain, 2
Christopher Hunt, 1
Peter Lind Hayes, 1
Kristen Connolly, 3
Sheryl Bernstein, 1
Sacha Baron Cohen, 5
Ernie Lively, 6
Ben Pullen, 1
Joris Jarsky, 5
Greg Bryk, 6
Filip Peeters, 1
Júlia Zsolnai, 1
Behzad Rafi, 1
Ryan Bruce, 1
Alisa Freyndlikh, 2
Zahra Naderi, 1
Joseph Dassin, 1
Joe Butler, 1
Carol van Herwijnen, 1
Rony Clanton, 4
James Soravilla, 1
Charles White-Eagle, 1
Alejandro Patino, 3
Juan Romero Jr., 1
Olivier Laville, 1
Anjul Nigam, 1
Jemma McKenzie-Brown, 1
Jerry Schneider, 1
Harry Northup, 8
Dylan Hundley, 2
Alison Leggatt, 1
Arirat Ratanakaitkosol, 1
James Solomon, 1
Gerrit, 1
Richard Jutras, 2
Jennifer Grant, 1
Melissa Jaffer, 1
Gilly Delgado, 1
Brian Arthur Cox, 1
Billy Bridges, 1
Lino Troisi, 1
Penny Mancuso, 2
Arthur Gould-Porter, 4
Michael Coppola, 1
Orly Silbersatz Banai, 1
Eric Allan Kramer, 5
Conan O'Brien, 2
Joan Harben, 1
Michael Miller, 2
Malcolm Brownson, 2
Johanna Baer, 1
Eric Bogosian, 7
Richard LeParmentier, 6
Liam Hess, 4
Gil-seung Bang, 1
Richard Messing, 2
Linda Ross, 1
Candy Castillo, 1
Edward Wiley, 2
Donovan Leitch, 13
Jason Lewis, 4
Spencer Breslin, 14
Alyson MacLaren, 2
Brian Dodd, 1
Justin Dana, 1
Yevgeni Teterin, 1
Bin Chao, 1
Kent Smith, 8
Gloria Gómez, 1
Jerry Brown, 2
Takao Osawa, 2
Roger Gregg, 2
Simara Richler, 1
Minoru Oki, 1
James Garver, 1
Victoire Thivisol, 2
Harrison Liu, 3
Paul Sand, 5
Catherine Chevallier, 2
Clara Bellar, 2
Ann Shoemaker, 3
Richard Balducci, 2
Misaki Mori, 1
Karolyn Grimes, 2
Jennifer Echols, 2
Ken Stott, 4
Susan Davis, 2
Véronique Ataly, 1
Paolo Stoppa, 2
Tatyana Ali, 8
Juan Carlos Ortuño, 1
Julie Hale, 2
Danielle Dax, 2
George Irving, 4
Ann Lancaster, 3
Aria Alpert, 2
Paul Campbell, 3
Candace Cameron Bure, 2
Matthew Newton, 2
Susan Petrie, 2
Robert Emmett O'Connor, 1
Johnny Lewis, 2
Kazuo Oka, 1
Paul Kember, 2
Hans Pössenbacher, 1
Kaaren Verne, 1
Tony Clemons, 3
Terrence Kirk, 2
Kaori Tsuji, 1
John Ellis, 1
Mosleh Mohamed, 2
Ian Anderson, 1
Christopher Nelson, 2
Massimo Serato, 4
Sean Baxter, 1
Emma Roberts, 2
Sam Schwartz, 2
Letitia Fox, 1
Tchelet Semel, 1
